code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
0001,长和,500,STOCK,,,,,,,2015-03-18,4440996184065,False,,False,,HK_MAINBOARD
0002,中电控股,500,STOCK,,,,,,,1970-01-01,2,False,,False,,HK_MAINBOARD
0003,香港中华煤气,1000,STOCK,,,,,,,1970-01-01,3,False,,False,,HK_MAINBOARD
0004,九龙仓集团,1000,STOCK,,,,,,,1970-01-01,4,False,,False,,HK_MAINBOARD
0006,电能实业,500,STOCK,,,,,,,1976-08-16,6,False,,False,,HK_MAINBOARD
0011,恒生银行,100,STOCK,,,,,,,1972-06-20,3865470566411,False,,False,,HK_MAINBOARD
0012,恒基地产,1000,STOCK,,,,,,,1981-07-23,18124761989132,False,,False,,HK_MAINBOARD
0016,新鸿基地产,500,STOCK,,,,,,,1972-09-08,4209067950096,False,,False,,HK_MAINBOARD
0017,新世界发展,1000,STOCK,,,,,,,1972-11-23,4535485464593,False,,False,,HK_MAINBOARD
0019,太古股份公司A,500,STOCK,,,,,,,1970-01-01,19,False,,False,,HK_MAINBOARD
0020,商汤-W,1000,STOCK,,,,,,,2021-12-30,81462644703252,False,,False,,HK_MAINBOARD
0027,银河娱乐,1000,STOCK,,,,,,,1991-10-07,34136400068635,False,,False,,HK_MAINBOARD
0066,港铁公司,500,STOCK,,,,,,,2000-10-05,48249662603330,False,,False,,HK_MAINBOARD
0083,信和置业,2000,STOCK,,,,,,,1981-04-08,17669495455827,False,,False,,HK_MAINBOARD
0101,恒隆地产,1000,STOCK,,,,,,,1970-01-01,101,False,,False,,HK_MAINBOARD
0135,昆仑能源,2000,STOCK,,,,,,,1973-03-13,5007931867271,False,,False,,HK_MAINBOARD
0151,中国旺旺,1000,STOCK,,,,,,,2008-03-26,59970628354199,False,,False,,HK_MAINBOARD
0175,吉利汽车,1000,STOCK,,,,,,,1973-02-23,4930622455983,False,,False,,HK_MAINBOARD
0241,阿里健康,2000,STOCK,,,,,,,1972-07-06,3934190043377,False,,False,,HK_MAINBOARD
0267,中信股份,1000,STOCK,,,,,,,1986-02-26,25336012079371,False,,False,,HK_MAINBOARD
0268,金蝶国际,1000,STOCK,,,,,,,2005-07-20,55761560404236,False,,False,,HK_MAINBOARD
0270,粤海投资,2000,STOCK,,,,,,,1970-01-01,270,False,,False,,HK_MAINBOARD
0285,比亚迪电子,500,STOCK,,,,,,,2007-12-20,59554016526621,False,,False,,HK_MAINBOARD
0288,万洲国际,500,STOCK,,,,,,,2014-08-05,69947837382944,False,,False,,HK_MAINBOARD
0291,华润啤酒,2000,STOCK,,,,,,,1970-01-01,291,False,,False,,HK_MAINBOARD
0293,国泰航空,1000,STOCK,,,,,,,1986-05-15,25671019528485,False,,False,,HK_MAINBOARD
0316,东方海外国际,500,STOCK,,,,,,,1992-07-31,35416300323132,False,,False,,HK_MAINBOARD
0322,康师傅控股,2000,STOCK,,,,,,,1996-02-05,40931038331202,False,,False,,HK_MAINBOARD
0384,中国燃气,200,STOCK,,,,,,,1995-10-20,40467181863296,False,,False,,HK_MAINBOARD
0388,香港交易所,100,STOCK,,,,,,,2000-06-27,47820165874052,False,,False,,HK_MAINBOARD
0656,复星国际,500,STOCK,,,,,,,2007-07-16,58879706661520,False,,False,,HK_MAINBOARD
0669,创科实业,500,STOCK,,,,,,,1990-12-17,32873679684253,False,,False,,HK_MAINBOARD
0688,中国海外发展,500,STOCK,,,,,,,1992-08-20,35502199669424,False,,False,,HK_MAINBOARD
0700,腾讯控股,100,STOCK,,,,,,,2004-06-16,54047868453564,False,,False,,HK_MAINBOARD
