date,assets,portfolio_total_capital
2023-10-03,[],100000.0
2023-10-04,[],100000.0
2023-10-05,[],100000.0
2023-10-06,[],100000.0
2023-10-07,[],100000.0
2023-10-08,[],100000.0
2023-10-09,[],100000.0
2023-10-10,"['0017', '0020']",99916.525
2023-10-11,"['0020', '0268', '1066', '2618', '0968']",100465.60479927981
2023-10-12,"['0020', '0268', '1066', '2618', '0968']",102695.60479927981
2023-10-13,"['0020', '0268', '1066', '0968']",99203.60479927981
2023-10-14,"['0020', '0268', '1066', '0968']",99203.60479927981
2023-10-15,"['0020', '0268', '1066', '0968']",99203.60479927981
2023-10-16,"['0020', '0268', '1066', '2331']",98504.02199448053
2023-10-17,"['0268', '1066']",98418.02199448053
2023-10-18,"['0268', '1066']",97946.02199448053
2023-10-19,['1066'],97814.02199448053
2023-10-20,[],97654.02199448053
2023-10-21,[],97654.02199448053
2023-10-22,[],97654.02199448053
2023-10-23,[],97654.02199448053
2023-10-24,['1066'],97615.00238568273
2023-10-25,['1066'],97503.00238568273
2023-10-26,['1066'],97279.00238568273
2023-10-27,['1066'],97951.00238568273
2023-10-28,['1066'],97951.00238568273
2023-10-29,['1066'],97951.00238568273
2023-10-30,['1066'],98903.00238568273
2023-10-31,"['1066', '1876']",98583.74848448989
2023-11-01,"['1066', '1876']",98967.74848448989
2023-11-02,"['1066', '1876', '3323']",99595.97435883357
2023-11-03,"['1066', '1876', '3323', '9618', '6969']",100296.50380978578
2023-11-04,"['1066', '1876', '3323', '9618', '6969']",100296.50380978578
2023-11-05,"['1066', '1876', '3323', '9618', '6969']",100296.50380978578
2023-11-06,"['1066', '1876', '3323', '9618', '6969']",104238.50380978578
2023-11-07,"['1066', '1876', '3323', '9618', '6969']",101844.50380978578
2023-11-08,"['1066', '1876', '9618', '6969', '2007']",102672.8666741662
2023-11-09,"['1066', '1876', '6969']",99774.8666741662
2023-11-10,"['1066', '2007']",99014.24784082912
2023-11-11,"['1066', '2007']",99014.24784082912
2023-11-12,"['1066', '2007']",99014.24784082912
2023-11-13,"['1066', '2007']",99212.24784082912
2023-11-14,"['1066', '3800']",98531.89831690872
2023-11-15,"['1066', '3800', '2007']",99670.99118469743
2023-11-16,"['1066', '3800', '0968']",98768.42999057431
2023-11-17,['1066'],97718.4299905743
2023-11-18,['1066'],97718.4299905743
2023-11-19,['1066'],97718.4299905743
2023-11-20,[],97494.4299905743
2023-11-21,[],97494.4299905743
2023-11-22,[],97494.4299905743
2023-11-23,[],97494.4299905743
2023-11-24,[],97494.4299905743
2023-11-25,[],97494.4299905743
2023-11-26,[],97494.4299905743
2023-11-27,[],97494.4299905743
2023-11-28,[],97494.4299905743
2023-11-29,[],97494.4299905743
2023-11-30,[],97494.4299905743
2023-12-01,[],97494.4299905743
2023-12-02,[],97494.4299905743
2023-12-03,[],97494.4299905743
2023-12-04,[],97494.4299905743
2023-12-05,[],97494.4299905743
2023-12-06,[],97494.4299905743
2023-12-07,[],97494.4299905743
2023-12-08,['1128'],97456.21021857807
2023-12-09,['1128'],97456.21021857807
2023-12-10,['1128'],97456.21021857807
2023-12-11,[],97488.21021857807
2023-12-12,[],97488.21021857807
2023-12-13,[],97488.21021857807
2023-12-14,"['0017', '2688']",97407.9148348234
2023-12-15,"['0017', '2688', '0881', '0968']",98199.55241070858
2023-12-16,"['0017', '2688', '0881', '0968']",98199.55241070858
2023-12-17,"['0017', '2688', '0881', '0968']",98199.55241070858
2023-12-18,"['0017', '2688']",96639.55241070858
2023-12-19,"['0017', '2688']",95799.55241070858
2023-12-20,"['0017', '2688']",96079.55241070858
2023-12-21,"['0017', '2688', '0968']",97238.12404243478
2023-12-22,"['0017', '2688']",96438.12404243478
2023-12-23,"['0017', '2688']",96438.12404243478
2023-12-24,"['0017', '2688']",96438.12404243478
2023-12-25,"['0017', '2688']",96438.12404243478
2023-12-26,"['0017', '2688']",96438.12404243478
2023-12-27,"['0017', '2688', '0968']",96817.04329307316
2023-12-28,"['0017', '2688', '0968', '2331']",98472.06324978008
2023-12-29,"['0017', '2688', '0968', '2331']",98532.06324978008
2023-12-30,"['0017', '2688', '0968', '2331']",98532.06324978008
2023-12-31,"['0017', '2688', '0968', '2331']",98532.06324978008
2024-01-01,"['0017', '2688', '0968', '2331']",98532.06324978008
2024-01-02,"['2688', '0968']",95232.06324978008
2024-01-03,[],94732.06324978008
2024-01-04,[],94732.06324978008
2024-01-05,[],94732.06324978008
2024-01-06,[],94732.06324978008
2024-01-07,[],94732.06324978008
2024-01-08,[],94732.06324978008
2024-01-09,[],94732.06324978008
2024-01-10,[],94732.06324978008
2024-01-11,['2269'],94695.18282448017
2024-01-12,[],94220.18282448017
2024-01-13,[],94220.18282448017
2024-01-14,[],94220.18282448017
2024-01-15,[],94220.18282448017
2024-01-16,[],94220.18282448017
2024-01-17,[],94220.18282448017
2024-01-18,[],94220.18282448017
2024-01-19,[],94220.18282448017
2024-01-20,[],94220.18282448017
2024-01-21,[],94220.18282448017
2024-01-22,[],94220.18282448017
2024-01-23,[],94220.18282448017
2024-01-24,[],94220.18282448017
2024-01-25,[],94220.18282448017
2024-01-26,"['2007', '2331', '1109']",94034.18933597916
2024-01-27,"['2007', '2331', '1109']",94034.18933597916
2024-01-28,"['2007', '2331', '1109']",94034.18933597916
2024-01-29,"['2007', '2331', '1109', '1209', '3323']",95612.01319834989
2024-01-30,"['2331', '1109', '0322', '0688']",92294.80804478124
2024-01-31,"['0322', '1876']",90497.97084075885
2024-02-01,"['0322', '1876', '2331']",91170.74632686502
2024-02-02,"['0322', '1876', '2331']",90850.74632686502
2024-02-03,"['0322', '1876', '2331']",90850.74632686502
2024-02-04,"['0322', '1876', '2331']",90850.74632686502
2024-02-05,"['1876', '2331']",90960.74632686502
2024-02-06,"['1876', '2331', '3690']",92625.91369598045
2024-02-07,"['1876', '2331', '3690', '2057', '0241']",92187.52808311989
2024-02-08,"['1876', '2331', '3690', '2057', '0241']",92007.52808311989
2024-02-09,"['1876', '2331', '0241', '9626', '2333']",90641.9251303267
2024-02-10,"['1876', '2331', '0241', '9626', '2333']",90641.9251303267
2024-02-11,"['1876', '2331', '0241', '9626', '2333']",90641.9251303267
2024-02-12,"['1876', '2331', '0241', '9626', '2333']",90641.9251303267
2024-02-13,"['1876', '2331', '0241', '9626', '2333']",90641.9251303267
2024-02-14,"['2331', '9626', '2333', '3690', '2057']",91766.03296722597
2024-02-15,"['2331', '9626', '2333', '3690', '2057']",93756.03296722597
2024-02-16,"['2331', '9626', '2333', '3690', '2057']",97401.03296722597
