date,assets,portfolio_total_capital
2023-10-03,[],100000.0
2023-10-04,[],100000.0
2023-10-05,[],100000.0
2023-10-06,[],100000.0
2023-10-07,[],100000.0
2023-10-08,[],100000.0
2023-10-09,[],100000.0
2023-10-10,"['0017', '0020']",99859.42
2023-10-11,"['0020', '0268', '1066']",100936.23037883999
2023-10-12,"['0020', '0268', '1066']",103438.23037884
2023-10-13,"['0020', '0268', '1066']",101098.23037884
2023-10-14,"['0020', '0268', '1066']",101098.23037884
2023-10-15,"['0020', '0268', '1066']",101098.23037884
2023-10-16,"['0020', '0268', '1066']",101164.23037883999
2023-10-17,"['0268', '1066']",101348.23037884
2023-10-18,"['0268', '1066']",100416.23037884
2023-10-19,['1066'],100064.23037884
2023-10-20,[],99804.23037884
2023-10-21,[],99804.23037884
2023-10-22,[],99804.23037884
2023-10-23,[],99804.23037884
2023-10-24,['1066'],99737.83755858745
2023-10-25,['1066'],99545.83755858745
2023-10-26,['1066'],99161.83755858745
2023-10-27,['1066'],100313.83755858746
2023-10-28,['1066'],100313.83755858746
2023-10-29,['1066'],100313.83755858746
2023-10-30,['1066'],101945.83755858746
2023-10-31,"['1066', '1876']",101398.88992102887
2023-11-01,"['1066', '1876']",102062.88992102887
2023-11-02,"['1066', '1876', '3323']",103143.6776611868
2023-11-03,"['1066', '1876', '3323']",104661.6776611868
2023-11-04,"['1066', '1876', '3323']",104661.6776611868
2023-11-05,"['1066', '1876', '3323']",104661.6776611868
2023-11-06,"['1066', '1876', '3323']",107963.6776611868
2023-11-07,"['1066', '1876', '3323']",105829.67766118681
2023-11-08,"['1066', '1876', '2007']",106360.11982586444
2023-11-09,"['1066', '1876']",101662.11982586441
2023-11-10,"['1066', '2007']",101096.05790603856
2023-11-11,"['1066', '2007']",101096.05790603856
2023-11-12,"['1066', '2007']",101096.05790603856
2023-11-13,"['1066', '2007']",101444.05790603856
2023-11-14,"['1066', '3800']",100288.90004813252
2023-11-15,"['1066', '3800', '2007']",102221.71064803626
2023-11-16,"['1066', '3800', '0968']",100694.29162674019
2023-11-17,['1066'],98544.29162674019
2023-11-18,['1066'],98544.29162674019
2023-11-19,['1066'],98544.29162674019
2023-11-20,[],98160.29162674019
2023-11-21,[],98160.29162674019
2023-11-22,[],98160.29162674019
2023-11-23,[],98160.29162674019
2023-11-24,[],98160.29162674019
2023-11-25,[],98160.29162674019
2023-11-26,[],98160.29162674019
2023-11-27,[],98160.29162674019
2023-11-28,[],98160.29162674019
2023-11-29,[],98160.29162674019
2023-11-30,[],98160.29162674019
2023-12-01,[],98160.29162674019
2023-12-02,[],98160.29162674019
2023-12-03,[],98160.29162674019
2023-12-04,[],98160.29162674019
2023-12-05,[],98160.29162674019
2023-12-06,[],98160.29162674019
2023-12-07,[],98160.29162674019
2023-12-08,['1128'],98096.8747656557
2023-12-09,['1128'],98096.8747656557
2023-12-10,['1128'],98096.8747656557
2023-12-11,[],98148.8747656557
2023-12-12,[],98148.8747656557
2023-12-13,[],98148.8747656557
2023-12-14,"['0017', '2688']",98013.09836629611
2023-12-15,"['0017', '2688', '0881']",99570.14016956351
2023-12-16,"['0017', '2688', '0881']",99570.14016956351
2023-12-17,"['0017', '2688', '0881']",99570.14016956351
2023-12-18,"['0017', '2688']",98510.14016956351
2023-12-19,"['0017', '2688']",97040.14016956351
2023-12-20,"['0017', '2688']",97535.14016956351
2023-12-21,"['0017', '2688', '0968']",99618.84788922439
2023-12-22,"['0017', '2688']",98068.84788922439
2023-12-23,"['0017', '2688']",98068.84788922439
2023-12-24,"['0017', '2688']",98068.84788922439
2023-12-25,"['0017', '2688']",98068.84788922439
2023-12-26,"['0017', '2688']",98068.84788922439
2023-12-27,"['0017', '2688', '0968']",98789.61819344593
2023-12-28,"['0017', '2688', '0968']",102064.61819344593
2023-12-29,"['0017', '2688', '0968']",102159.61819344593
2023-12-30,"['0017', '2688', '0968']",102159.61819344593
2023-12-31,"['0017', '2688', '0968']",102159.61819344593
2024-01-01,"['0017', '2688', '0968']",102159.61819344593
2024-01-02,"['2688', '0968']",98129.61819344593
2024-01-03,[],97164.61819344595
2024-01-04,[],97164.61819344595
2024-01-05,[],97164.61819344595
2024-01-06,[],97164.61819344595
2024-01-07,[],97164.61819344595
2024-01-08,[],97164.61819344595
2024-01-09,[],97164.61819344595
2024-01-10,[],97164.61819344595
2024-01-11,['2269'],97102.56411465032
2024-01-12,[],96152.56411465032
2024-01-13,[],96152.56411465032
2024-01-14,[],96152.56411465032
2024-01-15,[],96152.56411465032
2024-01-16,[],96152.56411465032
2024-01-17,[],96152.56411465032
2024-01-18,[],96152.56411465032
2024-01-19,[],96152.56411465032
2024-01-20,[],96152.56411465032
2024-01-21,[],96152.56411465032
2024-01-22,[],96152.56411465032
2024-01-23,[],96152.56411465032
2024-01-24,[],96152.56411465032
2024-01-25,[],96152.56411465032
2024-01-26,"['2007', '2331']",96029.2770538353
2024-01-27,"['2007', '2331']",96029.2770538353
2024-01-28,"['2007', '2331']",96029.2770538353
2024-01-29,"['2007', '2331', '1209']",96856.94549972765
2024-01-30,"['2331', '1109', '0322']",93024.44141151074
2024-01-31,"['0322', '1876']",91031.74987009923
2024-02-01,"['0322', '1876', '2331']",92237.71537035903
2024-02-02,"['0322', '1876', '2331']",91777.71537035903
2024-02-03,"['0322', '1876', '2331']",91777.71537035903
2024-02-04,"['0322', '1876', '2331']",91777.71537035903
2024-02-05,"['1876', '2331']",92217.71537035903
2024-02-06,"['1876', '2331', '3690']",95586.17013961832
2024-02-07,"['1876', '2331', '3690']",95086.17013961832
2024-02-08,"['1876', '2331', '3690']",94046.17013961832
2024-02-09,"['1876', '2331', '9626']",93845.46799933907
2024-02-10,"['1876', '2331', '9626']",93845.46799933907
2024-02-11,"['1876', '2331', '9626']",93845.46799933907
2024-02-12,"['1876', '2331', '9626']",93845.46799933907
2024-02-13,"['1876', '2331', '9626']",93845.46799933907
2024-02-14,"['2331', '9626', '3690']",95185.3760633404
2024-02-15,"['2331', '9626', '3690']",97675.3760633404
2024-02-16,"['2331', '9626', '3690']",101991.3760633404
2024-02-17,"['2331', '9626', '3690']",101991.3760633404
2024-02-18,"['2331', '9626', '3690']",101991.3760633404
2024-02-19,"['2331', '9626', '3690']",96742.3760633404
2024-02-20,"['2331', '9626', '3690']",96789.3760633404
2024-02-21,"['2331', '9626', '3690']",100417.3760633404
2024-02-22,"['2331', '9626', '3690']",103149.3760633404
2024-02-23,"['2331', '3690', '1066']",104467.21331121372
2024-02-24,"['2331', '3690', '1066']",104467.21331121372
